name,high_school,position,ht_wt,national_rank,position_rank,state_rank,recruit_score,college,year
Sean Marshall," Eisenhower Senior (Rialto, CA)  ", SF , 6-5 / 205 ,242,54,19,0.8444,boston-college,2003
Steve Hailey," Worcester Academy (Worcester, MA)  ", SG , 6-0 / 165 ,252,55,14,0.8444,boston-college,2003
Devon Evertsen," Moon Valley (Phoenix, AZ)  ", SF , 6-7 / 190 ,281,63,3,0.8111,boston-college,2003
Jared Dudley," Horizon (San Diego, CA)    ", SF , 6-6 / 205 ,396,84,34,0.8000,boston-college,2003
Vernon Hamilton," Benedictine (Richmond, VA)  ", PG , 6-1 / 185 ,123,22,5,0.8906,clemson,2003
Lamar Rice," Mott Middle College (Flint, MI)  ", SF , 6-7 / 215 ,372,81,16,0.8111,clemson,2003
Luol Deng," Blair Academy (Blairstown, NJ)    ", SF , 6-8 / 217 ,2,2,1,0.9996,duke,2003
Patrick Davidson," Blair Academy (Blairstown, NJ)  ", SG , 6-1 / 170 ,650,165,33,0.7667,duke,2003
Von Wafer," Heritage Christian Academy (Rockwall, TX)  ", SF , 6-5 / 210 ,18,5,4,0.9932,florida-state,2003
Alexander Johnson," Bridgton Academy (Bridgton, ME)  ", PF , 6-9 / 230 ,93,24,2,0.9456,florida-state,2003
Diego Romero," Lon Morris College (Jacksonville, TX)  ", PF , 6-10 / 240 ,2,2,1,0.9000,florida-state,2003
Will Bynum," Crane Technical Prep (Chicago, IL)  ", PG , 5-11 / 193 ,688,132,42,0.7667,georgia-tech,2003
Brandon Jenkins," Southeastern (Detroit, MI)  ", PG , 6-4 / 165 ,54,9,3,0.9773,louisville,2003
Nouha Diakite," Barton C.C. (Great Bend, KS)  ", C , 6-10 / 215 ,47,2,13,0.8444,louisville,2003
Nate Daniels," San Diego Mesa College (San Diego, CA)  ", SG , 6-8 / 200 ,109,25,9,0.7667,louisville,2003
Anthony Harris," Whitney Young (Chicago, IL)  ", PG , 6-1 / 165 ,171,33,10,0.8556,miami,2003
Karron Clarke," The Winchendon School (Winchendon, MA)  ", SF , 6-6 / 180 ,212,47,12,0.8444,miami,2003
Leonard Harden," Garden City C.C.  (Garden City, KS)  ", C , 6-9 / 240 ,50,4,15,0.8444,miami,2003
Anthony King," Southern (Durham, NC)  ", PF , 6-9 / 240 ,246,57,11,0.8444,miami,2003
Guillermo Diaz," Miami Christian School (Miami, FL)  ", PG , 6-3 / 185 ,272,51,11,0.8333,miami,2003
Michael O'Donnell," Clearwater (Clearwater, FL)  ", PG , 5-11 / 150 ,291,54,12,0.8111,north-carolina-state,2003
Reyshawn Terry," Reynolds (Winston Salem, NC)  ", SF , 6-7 / 205 ,62,16,4,0.9725,north-carolina,2003
Justin Bohlander," Reynolds (Winston Salem, NC)  ", SF , 6-7 / 200 ,779,148,30,0.7667,north-carolina,2003
Colin Falls," Loyola Academy (Wilmette, IL)  ", SG , 6-3 / 190 ,100,21,5,0.9275,notre-dame,2003
Omari Isreal," Good Counsel (Olney, MD)  ", SF , 6-8 / 215 ,118,26,7,0.8918,notre-dame,2003
Russell Carter," Paulsboro (Paulsboro, NJ)  ", SG , 6-3 / 198 ,287,63,16,0.8111,notre-dame,2003
Chris Taft," Xaverian (Brooklyn, NY)  ", C , 6-10 / 230 ,45,8,1,0.9823,pittsburgh,2003
Dante Milligan," Trinity-Pawling School (Pawling, NY)  ", SF , 6-8 / 200 ,128,28,10,0.8894,pittsburgh,2003
Aaron Gray," Emmaus (Emmaus, PA)  ", C , 7-0 / 280 ,134,24,3,0.8871,pittsburgh,2003
Antonio Graves," Mansfield (Mansfield, OH)  ", SG , 6-3 / 190 ,193,45,5,0.8556,pittsburgh,2003
Darryl Watkins," Paterson Catholic (Paterson, NJ)  ", C , 6-11 / 235 ,24,5,3,0.9906,syracuse,2003
Demetris Nichols," St Andrews School (Barrington, RI)  ", SF , 6-7 / 205 ,27,8,1,0.9896,syracuse,2003
Terrence Roberts," St Anthony (Jersey City, NJ)  ", PF , 6-8 / 205 ,42,10,5,0.9827,syracuse,2003
Louie McCroskey," St. Raymond For Boys (Bronx, NY)  ", SG , 6-5 / 185 ,70,14,3,0.9689,syracuse,2003
Gary Forbes," Benjamin Banneker Academy (Brooklyn, NY)  ", SF , 6-6 / 190 ,60,15,2,0.9727,virginia,2003
J.R. Reynolds," Oak Hill Academy (Mouth Of Wilson, VA)  ", SG , 6-3 / 180 ,68,13,4,0.9695,virginia,2003
Donte Minter," Fork Union Military Academy (Fork Union, VA)  ", PF , 6-8 / 230 ,1,1,1,0.8444,virginia,2003
