season,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,player_id,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes,player_season_number,player_name
2019-20,6.9,13,1.0,3,-0.1,wac,-0.9,4.4,12,0.4,0.553,76,0.434,33,0.368,28,0.857,24,28,6,6-6,346,0.8,3.2,10,0.7,36,14.2,connor-raines-1,108,98.0,Forward,3.4,21,texas-pan-american,0.579,44,0.409,18,3.8,22,0.605,12.7,13,32,0.469,15,14.6,190,1.1,0.122,1,Connor Raines
2018-19,29.4,34,0.6,1,-4.5,southern,1.6,16.3,31,0.3,0.319,69,0.304,21,0.217,15,0.467,7,25,0,6-3,216,-6.1,4.9,9,-0.4,23,8.1,daniel-love-1,51,69.0,Guard,4.0,15,mercer,0.246,17,0.118,2,10.7,40,0.335,23.2,23,52,0.365,19,23.2,170,0.0,-0.005,1,Daniel Love
2019-20,15.9,54,0.6,3,-2.6,southern,0.8,12.7,68,0.8,0.434,143,0.399,57,0.238,34,0.676,23,32,12,6-3,600,-3.4,5.8,29,0.1,72,10.0,daniel-love-1,147,168.0,Guard,2.7,29,mercer,0.21,30,0.333,10,9.4,97,0.462,22.8,47,113,0.416,47,17.0,170,0.9,0.063,2,Daniel Love
2019-20,10.0,1,0.0,0,-14.4,america-east,-3.2,34.1,5,0.0,0.333,3,0.333,1,0.0,0,,0,3,0,6-5,17,-11.2,0.0,0,0.0,0,0.6,donovan-ivory-1,2,2.0,Guard,0.0,0,massachusetts-lowell,0.667,2,0.0,0,17.2,5,0.333,40.0,2,1,1.0,1,14.7,190,0.0,-0.082,1,Donovan Ivory
2019-20,9.5,27,0.5,2,-3.3,cusa,0.8,14.1,60,0.7,0.353,92,0.337,31,0.609,56,0.661,37,31,10,6-6,495,-4.1,6.4,29,0.0,46,7.8,kenan-blackshear-1,102,119.0,Guard,1.6,14,florida-atlantic,0.261,24,0.125,3,10.2,89,0.43,21.8,33,68,0.412,28,15.2,215,0.6,0.052,1,Kenan Blackshear
2019-20,3.4,3,3.1,5,-11.0,swac,-2.1,20.6,29,0.0,0.385,13,0.385,5,0.462,6,0.0,0,17,5,6-6,148,-8.9,14.0,23,-0.1,50,2.5,cossy-kowouto-1,10,21.0,Forward,0.3,1,mississippi-valley-state,0.077,1,0.0,0,17.1,52,0.315,41.0,11,12,0.417,5,8.1,250,-0.1,-0.026,1,Cossy Kowouto
2018-19,9.4,18,1.5,5,-0.1,sun-belt,3.4,13.4,46,0.7,0.445,82,0.402,33,0.366,30,0.533,16,27,12,6-6,388,-3.5,6.4,22,-0.2,49,9.5,patrick-mwamba-1,89,94.0,Forward,3.9,26,texas-arlington,0.366,30,0.233,7,9.9,68,0.462,24.4,31,52,0.5,26,16.4,196,0.6,0.057,1,Patrick Mwamba
2019-20,7.5,3,7.3,5,-0.6,sun-belt,5.4,22.1,15,0.2,0.324,17,0.294,5,0.353,6,0.667,4,5,0,6-6,73,-6.1,4.4,3,0.0,10,9.6,patrick-mwamba-1,15,16.0,Forward,1.6,2,texas-arlington,0.353,6,0.167,1,13.2,18,0.378,13.1,3,11,0.364,4,15.9,196,0.1,0.065,2,Patrick Mwamba
2019-20,13.8,22,2.3,7,-2.2,sun-belt,0.3,15.5,47,0.4,0.46,87,0.391,34,0.184,16,0.938,15,22,4,6-3,345,-2.5,4.2,12,0.1,22,11.6,josh-nicholas-3,95,97.0,Guard,1.4,8,louisiana-monroe,0.494,43,0.279,12,10.0,59,0.502,20.9,25,44,0.5,22,18.4,190,0.5,0.061,1,Josh Nicholas
2018-19,5.8,11,7.5,21,3.9,big-12,5.2,14.4,41,0.5,0.538,39,0.538,21,0.769,30,0.533,16,33,0,6-10,331,-1.4,10.7,31,0.1,57,10.3,flo-thamba-1,58,68.0,Forward,1.1,6,baylor,0.0,0,,0,12.5,72,0.545,31.1,24,39,0.538,21,11.7,240,0.6,0.07,1,Flo Thamba
2019-20,2.1,2,8.7,13,3.4,big-12,5.6,19.1,28,0.4,0.481,27,0.481,13,1.111,30,0.567,17,19,0,6-10,172,-2.2,9.1,14,0.2,33,13.3,flo-thamba-1,43,44.0,Forward,0.3,1,baylor,0.0,0,,0,14.0,42,0.521,14.5,7,27,0.481,13,14.1,240,0.6,0.146,2,Flo Thamba
2019-20,0.0,0,0.0,0,-5.3,mac,-5.2,0.0,0,0.0,0.333,3,0.333,1,0.667,2,1.0,2,5,0,6-4,11,0.0,0.0,0,0.0,0,11.5,isaac-elsasser-1,4,3.0,Guard,0.0,0,bowling-green-state,0.667,2,0.0,0,0.0,0,0.506,0.0,0,1,1.0,1,17.4,185,0.0,0.094,1,Isaac Elsasser
2016-17,6.8,15,2.1,8,-0.5,wcc,2.0,15.8,57,0.7,0.591,77,0.571,44,0.429,33,0.727,24,32,6,7-0,400,-2.5,6.0,21,0.4,64,12.1,jimbo-lull-1,115,114.0,Center,1.2,8,san-francisco,0.169,13,0.231,3,11.0,78,0.62,23.8,29,64,0.641,41,15.5,252,1.1,0.113,1,Jimbo Lull
2017-18,5.9,9,5.6,18,-1.1,wcc,2.4,21.9,64,0.6,0.571,99,0.566,56,0.323,32,0.656,21,31,1,7-0,342,-3.5,9.8,30,0.3,53,17.0,jimbo-lull-1,134,125.0,Center,0.9,5,san-francisco,0.121,12,0.083,1,15.7,94,0.587,21.3,31,87,0.632,55,22.0,252,0.9,0.105,2,Jimbo Lull
2018-19,7.0,21,2.7,15,3.1,wcc,0.7,19.3,99,0.9,0.604,182,0.604,110,0.324,59,0.729,43,31,29,7-0,596,2.4,12.5,66,2.0,75,23.3,jimbo-lull-1,263,257.0,Center,0.7,7,san-francisco,0.005,1,0.0,0,15.9,165,0.626,12.5,30,181,0.608,110,20.6,252,2.9,0.193,3,Jimbo Lull
2019-20,7.9,37,2.8,26,4.5,wcc,2.0,22.2,176,1.4,0.587,281,0.569,160,0.349,98,0.755,74,34,34,7-0,954,2.5,9.8,82,2.9,82,22.6,jimbo-lull-1,404,396.0,Center,1.2,19,san-francisco,0.11,31,0.323,10,15.8,258,0.617,15.0,58,250,0.6,150,20.2,252,4.3,0.179,4,Jimbo Lull
2019-20,4.4,3,6.4,9,-6.0,meac,-0.2,23.0,30,0.2,0.513,38,0.5,19,0.132,5,0.6,3,24,0,6-9,144,-5.8,8.4,11,0.1,21,15.6,michael-barber-1,42,40.0,Forward,2.7,7,howard,0.053,2,0.5,1,15.7,41,0.52,18.2,9,36,0.5,18,16.9,225,0.2,0.063,1,Michael Barber
